Employee_ID,Name,Department,City,Gender,Age,Salary,Experience_Years,Performance,Joining_Date
1001,Employee_01,Sales,Mumbai,Female,27,40708.0,15.0,Excellent,2021-01-01
1002,Employee_02,Marketing,Pune,Female,26,116906.0,13.0,Poor,2021-02-15
1003,Employee_03,Finance,Hyderabad,Male,28,74811.0,1.0,Poor,2021-04-01
1004,Employee_04,Marketing,Mumbai,Male,29,27811.0,1.0,Good,2021-05-16
1005,Employee_05,Marketing,Mumbai,Male,25,81250.0,5.0,Excellent,2021-06-30
1006,Employee_06,HR,Pune,Female,21,,2.0,Good,2021-08-14
1007,Employee_07,Finance,Mumbai,Male,39,59754.0,15.0,Excellent,2021-09-28
1008,Employee_08,Finance,Mumbai,Male,30,36411.0,12.0,Good,2021-11-12
1009,Employee_09,Finance,Pune,Female,32,27911.0,8.0,Average,2021-12-27
1010,Employee_10,Marketing,,Male,44,92270.0,3.0,Poor,2022-02-10
1011,Employee_11,Sales,Bengaluru,Female,35,108763.0,0.0,Excellent,2022-03-27
1012,Employee_12,Finance,Hyderabad,Female,42,33680.0,3.0,Excellent,2022-05-11
1013,Employee_13,Marketing,Hyderabad,Female,44,109896.0,0.0,Poor,2022-06-25
1014,Employee_14,HR,Mumbai,Male,29,108879.0,13.0,Excellent,2022-08-09
1015,Employee_15,Sales,Hyderabad,Male,40,96295.0,4.0,,2022-09-23
1016,Employee_16,HR,Mumbai,Male,37,113614.0,15.0,Good,2022-11-07
1017,Employee_17,Sales,Bengaluru,Male,37,36111.0,3.0,Excellent,2022-12-22
1018,Employee_18,Marketing,Pune,Male,40,,7.0,Average,2023-02-05
1019,Employee_19,IT,Pune,Male,32,26802.0,15.0,Average,2023-03-22
1020,Employee_20,Sales,Pune,Male,27,33155.0,7.0,Poor,2023-05-06
1021,Employee_21,HR,Hyderabad,Female,22,98656.0,6.0,Excellent,2023-06-20
1022,Employee_22,Marketing,Bengaluru,Male,23,64384.0,2.0,Poor,2023-08-04
1023,Employee_23,Sales,Hyderabad,Female,37,72254.0,,Average,2023-09-18
1024,Employee_24,IT,Hyderabad,Male,25,46918.0,15.0,Excellent,2023-11-02
1025,Employee_25,IT,Bengaluru,Male,37,110981.0,0.0,Excellent,2023-12-17
1026,Employee_26,Finance,Bengaluru,Male,44,85713.0,15.0,Poor,2024-01-31
1027,Employee_27,Finance,Bengaluru,Female,37,55306.0,11.0,Average,2024-03-16
1028,Employee_28,HR,,Female,37,41646.0,10.0,Excellent,2024-04-30
1029,Employee_29,Sales,Pune,Female,22,71843.0,2.0,Poor,2024-06-14
1030,Employee_30,Sales,Delhi,Female,22,115735.0,5.0,Average,2024-07-29
1031,Employee_31,Finance,Delhi,Male,42,41371.0,6.0,Poor,2024-09-12
1032,Employee_32,Sales,Bengaluru,Female,43,102371.0,5.0,Good,2024-10-27
1033,Employee_33,Sales,Delhi,Male,25,27049.0,13.0,Excellent,2024-12-11
1034,Employee_34,IT,Delhi,Male,21,56616.0,13.0,Good,2025-01-25
1035,Employee_35,Finance,Bengaluru,Female,21,45932.0,5.0,Average,2025-03-11
1036,Employee_36,Marketing,Delhi,Female,39,54855.0,5.0,Good,2025-04-25
1037,Employee_37,Finance,Hyderabad,Female,22,86434.0,12.0,Good,2025-06-09
1038,Employee_38,Marketing,Mumbai,Female,41,97694.0,2.0,Average,2025-07-24
1039,Employee_39,IT,Mumbai,Female,32,,5.0,Poor,2025-09-07
1040,Employee_40,HR,Bengaluru,Female,26,32400.0,7.0,Good,2025-10-22
1041,Employee_41,Sales,Pune,Female,43,67642.0,10.0,Poor,2025-12-06
1042,Employee_42,IT,Bengaluru,Female,24,40151.0,10.0,Good,2026-01-20
1043,Employee_43,Sales,Pune,Male,43,76407.0,1.0,Poor,2026-03-06
1044,Employee_44,HR,Mumbai,Female,31,91690.0,4.0,Average,2026-04-20
1045,Employee_45,HR,Bengaluru,Female,44,29499.0,13.0,,2026-06-04
1046,Employee_46,IT,Hyderabad,Male,37,31295.0,0.0,Average,2026-07-19
1047,Employee_47,HR,Delhi,Female,26,84040.0,11.0,Good,2026-09-02
1048,Employee_48,Marketing,Pune,Male,44,37183.0,14.0,Average,2026-10-17
1049,Employee_49,HR,Delhi,Male,25,54299.0,15.0,Average,2026-12-01
1050,Employee_50,Sales,Delhi,Female,40,37874.0,0.0,Good,2027-01-15
1051,Employee_51,Sales,Bengaluru,Male,22,57711.0,4.0,Good,2027-03-01
1052,Employee_52,Sales,Delhi,Male,26,30539.0,11.0,Good,2027-04-15
1053,Employee_53,Sales,Hyderabad,Male,42,78351.0,12.0,Excellent,2027-05-30
1054,Employee_54,Marketing,Delhi,Male,31,86267.0,15.0,Poor,2027-07-14
1055,Employee_55,Finance,Bengaluru,Female,36,73354.0,2.0,Excellent,2027-08-28
1056,Employee_56,IT,Hyderabad,Male,36,27557.0,3.0,Excellent,2027-10-12
1057,Employee_57,Sales,Mumbai,Female,21,63360.0,2.0,Average,2027-11-26
1058,Employee_58,HR,Delhi,Male,29,107018.0,15.0,Good,2028-01-10
1059,Employee_59,Sales,Bengaluru,Male,26,27200.0,0.0,Poor,2028-02-24
1060,Employee_60,HR,Mumbai,Male,36,93497.0,15.0,Average,2028-04-09
1004,Employee_04,Marketing,Mumbai,Male,29,27811.0,1.0,Good,2021-05-16
1016,Employee_16,HR,Mumbai,Male,37,113614.0,15.0,Good,2022-11-07
